UID          PID    PPID  C STIME TTY          TIME CMD
root         129       2  0 15:20 ?        00:00:00 [devfreq_wq]
root         130       2  0 15:20 ?        00:00:00 [watchdogd]
root         132       2  0 15:20 ?        00:00:00 [kworker/0:1H-kblockd]
root         133       2  0 15:20 ?        00:00:00 [kswapd0]
root         134       2  0 15:20 ?        00:00:00 [ecryptfs-kthrea]
root         136       2  0 15:20 ?        00:00:00 [kthrotld]
root         137       2  0 15:20 ?        00:00:00 [irq/49-ACPI:Ged]
root         138       2  0 15:20 ?        00:00:00 [acpi_thermal_pm]
root         140       2  0 15:20 ?        00:00:00 [mld]
root         141       2  0 15:20 ?        00:00:00 [ipv6_addrconf]
root         150       2  0 15:20 ?        00:00:00 [kstrp]
root         153       2  0 15:20 ?        00:00:00 [zswap-shrink]
root         154       2  0 15:20 ?        00:00:00 [kworker/u17:0]
root         157       2  0 15:20 ?        00:00:00 [kworker/1:2-cgroup_destroy]
root         158       2  0 15:20 ?        00:00:00 [cryptd]
root         182       2  0 15:20 ?        00:00:00 [kworker/7:2-events]
root         197       2  0 15:20 ?        00:00:00 [charger_manager]
root         219       2  0 15:20 ?        00:00:00 [kworker/2:1H-kblockd]
root         252       2  0 15:20 ?        00:00:00 [kworker/3:1H-kblockd]
root         253       2  0 15:20 ?        00:00:00 [kworker/5:2-events]
root         254       2  0 15:20 ?        00:00:00 [kworker/1:1H-kblockd]
root         270       2  0 15:20 ?        00:00:00 [kworker/6:1H-kblockd]
root         275       2  0 15:20 ?        00:00:00 [kworker/7:1H-kblockd]
root         280       2  0 15:20 ?        00:00:00 [kworker/5:1H-kblockd]
root         285       2  0 15:20 ?        00:00:00 [kworker/2:2-mm_percpu_wq]
root         303       2  0 15:20 ?        00:00:00 [kworker/4:1H-kblockd]
root         305       2  0 15:20 ?        00:00:00 [kdmflush]
root         311       2  0 15:20 ?        00:00:00 [kworker/4:2-events]
root         333       2  0 15:20 ?        00:00:00 [raid5wq]
root         364       2  0 15:20 ?        00:00:00 [kworker/3:2-cgroup_destroy]
root         382       2  0 15:20 ?        00:00:00 [jbd2/dm-0-8]
root         383       2  0 15:20 ?        00:00:00 [ext4-rsv-conver]
root         418       2  0 15:20 ?        00:00:00 [kworker/6:2-inode_switch_wbs]
root         419       2  0 15:20 ?        00:00:00 [hwrng]
root         458       1  0 15:20 ?        00:00:00 /lib/systemd/systemd-journald
root         494       2  0 15:20 ?        00:00:00 [kaluad]
root         497       2  0 15:20 ?        00:00:00 [kmpath_rdacd]
root         498       2  0 15:20 ?        00:00:00 [kmpathd]
root         499       2  0 15:20 ?        00:00:00 [kmpath_handlerd]
root         500       1  0 15:20 ?        00:00:00 /sbin/multipathd -d -s
root         506       1  0 15:20 ?        00:00:00 /lib/systemd/systemd-udevd
root         553       2  0 15:20 ?        00:00:00 [scsi_eh_0]
root         554       2  0 15:20 ?        00:00:00 [scsi_tmf_0]
root         555       2  0 15:20 ?        00:00:00 [usb-storage]
root         556       2  0 15:20 ?        00:00:00 [uas]
root         619       2  0 15:20 ?        00:00:00 [jbd2/vda2-8]
root         620       2  0 15:20 ?        00:00:00 [ext4-rsv-conver]
systemd+     647       1  0 15:20 ?        00:00:00 /lib/systemd/systemd-timesyncd
systemd+     692       1  0 15:20 ?        00:00:00 /lib/systemd/systemd-networkd
systemd+     694       1  0 15:20 ?        00:00:00 /lib/systemd/systemd-resolved
root         728       1  0 15:20 ?        00:00:00 /usr/sbin/cron -f -P
message+     730       1  0 15:20 ?        00:00:00 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
root         736       1  0 15:20 ?        00:00:00 /usr/sbin/irqbalance --foreground
root         737       1  0 15:20 ?        00:00:00 /usr/bin/python3 /usr/bin/networkd-dispatcher --run-startup-triggers
root         738       1  0 15:20 ?        00:00:00 /usr/libexec/polkitd --no-debug
syslog       740       1  0 15:20 ?        00:00:00 /usr/sbin/rsyslogd -n -iNONE
root         742       1  0 15:20 ?        00:00:01 /usr/lib/snapd/snapd
root         747       1  0 15:20 ?        00:00:00 /lib/systemd/systemd-logind
root         749       1  0 15:20 ?        00:00:00 /usr/libexec/udisks2/udisksd
root         760       1  0 15:20 ?        00:00:00 /usr/sbin/ModemManager
root         793       1  0 15:20 ?        00:00:00 /sbin/agetty -o -p -- \u --keep-baud 115200,57600,38400,9600 ttyAMA0 vt220
root         797       1  0 15:20 ?        00:00:00 /usr/bin/python3 /usr/share/unattended-upgrades/unattended-upgrade-shutdown --wait-for-signal
root         803       1  0 15:20 tty1     00:00:00 /bin/login -p --
root        1426       1  0 15:20 ?        00:00:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
gwang       1581       1  0 15:20 ?        00:00:00 /lib/systemd/systemd --user
gwang       1582    1581  0 15:20 ?        00:00:00 (sd-pam)
gwang       1588     803  0 15:20 tty1     00:00:00 -bash
root        1846       1  0 15:23 ?        00:00:00 /usr/libexec/packagekitd
root        2351       2  0 15:25 ?        00:00:00 [kworker/3:3-events]
root        2367       2  0 15:40 ?        00:00:00 [kworker/u16:1-events_power_efficient]
root        2370       2  0 15:40 ?        00:00:00 [kworker/u16:2-events_power_efficient]
root        2371       2  0 15:44 ?        00:00:00 [kworker/0:2-events]
root        2548       2  0 15:50 ?        00:00:00 [kworker/0:0]
gwang       2549    1588  0 15:50 tty1     00:00:00 ps -ef
